,SPY_BuyHold,Momentum_Top5,EqualWeight_All,A_Top5_MultiFactor,B_Top10_MultiFactor,C_Top5_VIX_Filter,D_Top5_Regime_Filter
2012-01-31,0.046374129591924884,,,,,,
2012-02-29,0.043405810366685005,0.05184466054448857,0.04499028701360481,-0.006017148790023042,0.022687248671251513,-0.006017148790023042,-0.006017148790023042
2012-03-31,0.03216373852104715,0.07889730655112141,0.013906276451974273,0.0416440944827551,0.026289668292478873,0.0416440944827551,0.0416440944827551
2012-04-30,-0.006676031907202784,-0.05658295633487935,-0.01554620649044625,-0.020235398396757188,-0.00946932100924459,-0.020235398396757188,-0.020235398396757188
2012-05-31,-0.060055405121354544,-0.06256910071073307,-0.07134037818670323,-0.06347241634488895,-0.058539676260031606,-0.06347241634488895,-0.06347241634488895
2012-06-30,0.0405809171235636,0.05828055782087764,0.04314805832402795,0.03789049784867138,0.0302036609663209,0.03789049784867138,0.03789049784867138
2012-07-31,0.011829885835054288,0.02447135857953788,-0.002016167237429713,-0.004199142219513408,-0.003221100933784893,-0.004199142219513408,-0.004199142219513408
2012-08-31,0.025052302809607907,0.029430099587288795,0.029235456229192436,0.026055636283381166,0.02065255502293626,0.026055636283381166,0.026055636283381166
2012-09-30,0.025351155402167258,0.039658919339969415,0.020255736754661236,0.01393899744524103,0.02629653426056966,0.01393899744524103,0.01393899744524103
2012-10-31,-0.018198239583448905,-0.05427374018214019,-0.050080394331867194,-0.00091975729104663,-0.01774341595540624,-0.00091975729104663,-0.00091975729104663
2012-11-30,0.005659970508972378,-0.003498048329261727,0.01866051904506489,0.006920987025488046,0.007673145491142253,0.006920987025488046,0.006920987025488046
2012-12-31,0.008934275439618444,-0.023206289406103985,0.009514177697365407,0.028333282663943395,0.023971382376231233,0.028333282663943395,0.028333282663943395
2013-01-31,0.05119038911521523,0.028862187904567828,0.036396468717918205,0.04632356167261964,0.03899840464576894,0.04632356167261964,0.04632356167261964
2013-02-28,0.012758469882426127,-0.06600993927204739,-0.007081755197783714,-0.018227776357081484,0.0011084322710268712,-0.018227776357081484,-0.018227776357081484
2013-03-31,0.03797116492885655,0.015305560140588325,0.021317304119943512,-0.012176372286356507,0.007067431513018263,-0.012176372286356507,-0.012176372286356507
2013-04-30,0.019212749943858798,0.12822309969920317,0.023797942135499673,0.0313452871911359,0.03227937456187446,0.0313452871911359,0.0313452871911359
2013-05-31,0.02360910073784317,0.21642082432639093,0.04640011167470515,0.13285124348911354,0.07311255449242833,0.13285124348911354,0.13285124348911354
2013-06-30,-0.01334397980166746,0.01963142935171014,-0.026295569477159608,-0.020153593111796764,-0.009629213682613613,-0.020153593111796764,-0.020153593111796764
2013-07-31,0.051676789896772934,0.03812770993507584,0.05562831270287955,0.04986625657840622,0.05735902551615224,0.04986625657840622,0.04986625657840622
2013-08-31,-0.029992689635302994,-0.007863644858654938,0.004755359959887343,-0.012630435710282684,-0.020200605699867247,-0.012630435710282684,-0.012630435710282684
2013-09-30,0.031646409984876334,0.12119863986575954,0.04403592932101652,0.020539423017956793,0.04044353921834669,0.020539423017956793,0.020539423017956793
2013-10-31,0.0463067393212202,-0.07983140962620627,0.021021044662734942,0.009326435668740429,0.03709450979928216,0.009326435668740429,0.009326435668740429
2013-11-30,0.029637857972812043,-0.02837777407502986,0.011534736232362,0.030275320699613494,0.0271753861029538,0.030275320699613494,0.030275320699613494
2013-12-31,0.025926465141608235,0.040576201992377214,0.032325950929203984,0.017372874511839064,0.016554547081460792,0.017372874511839064,0.017372874511839064
2014-01-31,-0.03524841891628161,-0.0036588026340584,-0.0029227743470710255,-0.034998952649891946,-0.031042854964542742,-0.034998952649891946,-0.034998952649891946
2014-02-28,0.045516034492511404,0.13143960745212796,0.05862280272050319,0.03510289339590629,0.033020911464550065,0.03510289339590629,0.03510289339590629
2014-03-31,0.008295190768470295,-0.08187248392171101,-0.009317675776110056,0.005869981519855405,-0.006003648677452722,0.005869981519855405,0.005869981519855405
2014-04-30,0.006952002329867701,0.0013056607240677699,0.0012458555202583131,-0.010610520002084445,-0.0015425132700793375,-0.010610520002084445,-0.010610520002084445
2014-05-31,0.023206365516401872,0.013473982069221657,0.030869249924133407,0.0215786339560347,0.01981065665058527,0.0215786339560347,0.0215786339560347
2014-06-30,0.02064477220684946,0.038884989152397395,0.032619779178305275,0.012351346515454598,0.014662428756893275,0.012351346515454598,0.012351346515454598
2014-07-31,-0.013437558507156333,-0.009868307230542573,-0.01240098532430545,-0.026676024478098713,-0.02139196825927253,-0.026676024478098713,-0.026676024478098713
2014-08-31,0.039463648090512615,0.08339942470636139,0.040795440544591326,0.029245967498922186,0.0344593245386315,0.029245967498922186,0.029245967498922186
2014-09-30,-0.013796568180659996,0.01243014284810524,-0.03159068708614401,-0.029149201946270263,-0.016601639644083975,-0.029149201946270263,-0.029149201946270263
2014-10-31,0.023550848828567394,-0.003949857099133425,0.004256106786853191,0.0532025038465926,0.038813642268128536,0.0532025038465926,0.0532025038465926
2014-11-30,0.02747226519061652,0.06832939948969732,0.022965833832990872,0.017923152717073676,0.01538521168931516,0.017923152717073676,0.017923152717073676
2014-12-31,-0.00253678485169917,-0.00032120977680942796,-0.022812835410882953,-0.005713814559782771,0.00013113159439942512,-0.005713814559782771,-0.005713814559782771
2015-01-31,-0.029629313089237552,0.017265232399673636,-0.014428941146740632,0.022681917900039726,-0.014597172945395564,0.022681917900039726,0.022681917900039726
2015-02-28,0.056204621182660786,0.07584381966398657,0.0602342285771024,0.0348643369813616,0.03881935756103241,0.0348643369813616,0.0348643369813616
